meanfreq,IQR,sfm,mode,meanfun,minfun,maxfun,meandom,mindom,maxdom,label
0.059780985,,0.491917766,0,0.084279106,0.015701668,0.275862069,0.0078125,0.0078125,0.0078125,male
0.06600874,0.073252323,0.513723843,0,0.107936554,0.015825915,0.25,0.009014423,0.0078125,0.0546875,male
0.077315503,0.123206961,0.478904979,0,0.098706262,0.015655577,0.271186441,0.007990057,0.0078125,0.015625,male
0.151228092,0.111373524,0.727231799,0.083878185,0.088964849,0.017797553,0.25,0.201497396,0.0078125,0.5625,male
0.135120387,0.127324711,0.783568058,0.104261402,0.106397845,0.016931217,0.266666667,0.7128125,0.0078125,5.484375,male
0.132786407,0.141633606,0.738307004,0.112555426,0.11013192,0.017112299,0.253968254,0.298221983,0.0078125,2.7265625,male
0.15076233,0.112819149,0.76263767,0.086196809,0.105944515,0.026229508,0.266666667,0.479619565,0.0078125,5.3125,male
0.160514332,0.121429706,0.719857907,0.128324067,0.09305243,0.017758047,0.144144144,0.301339286,0.0078125,0.5390625,male
0.142239417,0.120381166,0.770992054,0.219103139,0.096728946,0.017957351,0.25,0.336476293,0.0078125,2.1640625,male
0.134328777,0.12637713,0.804505253,0.011698736,0.105880926,0.019300362,0.262295082,0.340364583,0.015625,4.6953125,male
0.157020511,0.115309819,0.733692878,0.096358437,0.088893983,0.022068966,0.117647059,0.460227273,0.0078125,2.8125,male
0.138550521,0.115425532,0.752042013,0.012101064,0.104199319,0.019138756,0.262295082,0.24609375,0.0078125,2.71875,male
0.137342742,0.126081871,0.736149955,0.108434048,0.092644019,0.016789087,0.213333333,0.481670673,0.015625,5.015625,male
0.181225459,0.100693241,0.537079995,0.21982669,0.131503722,0.025,0.275862069,1.277113971,0.0078125,2.8046875,male
0.183115281,0.111003812,0.571394202,0.049987294,0.102798695,0.020833333,0.275862069,1.245738636,0.203125,6.7421875,male
0.174272105,0.112677295,0.635199178,0.050027488,0.102045991,0.018327606,0.246153846,1.621299342,0.0078125,7,male
0.190846298,0.112076242,0.538809584,0.05012934,0.113322801,0.01754386,0.275862069,1.434114583,0.0078125,6.3203125,male
0.171246971,,0.586419514,0.05995842,0.079718312,0.015670911,0.262295082,0.106279481,0.0078125,0.5703125,male
0.168345946,,0.559742318,0.060032985,0.083484022,0.015717092,0.231884058,0.1465625,0.0078125,3.125,male
0.173631376,0.120553819,0.518268557,0.060026798,0.090129539,0.015701668,0.210526316,0.193044355,0.0078125,2.8203125,male
0.172754287,,0.523081123,0.059953326,0.093573513,0.015763547,0.2,0.235877404,0.0078125,0.71875,male
0.181015394,0.125501618,0.475317471,0.05995685,0.09864341,0.016145308,0.275862069,0.20984375,0.0078125,3.6953125,male
0.163535853,0.113519062,0.542422404,0.059941349,0.062541644,0.015686275,0.197530864,0.059621711,0.0078125,0.4453125,male
0.170212798,0.126136681,0.487965716,0.059944212,0.077698415,0.015701668,0.192771084,0.1015625,0.0078125,0.5625,male
0.160422477,0.116319499,0.567423614,0.060078309,0.098944146,0.016096579,0.275862069,0.206756162,0.0078125,3.953125,male
0.164699838,0.121776605,0.604020485,0.05996482,0.082962611,0.015640274,0.253968254,0.143353175,0.0078125,1.0625,male
0.169578801,,0.543708544,0.05996587,0.082451321,0.01621074,0.271186441,0.1484375,0.0078125,3.609375,male
0.169021004,0.122514669,0.477745723,0.128147527,0.130598328,0.015841584,0.225352113,0.3353125,0.0078125,0.7109375,male
0.167340239,0.117826087,0.53947909,0.134782609,0.120052184,0.016243655,0.262295082,0.298677885,0.0078125,0.6796875,male
0.180527821,0.12293578,0.31342645,0.133577982,0.126607441,0.017039404,0.177777778,0.234863281,0.0078125,0.5078125,male
0.153039048,0.121634409,0.807551708,0.216774194,0.067407499,0.016260163,0.205128205,0.2615625,0.0078125,1.0234375,male
0.166659499,0.123002208,0.560406695,0.127019868,0.127719891,0.017278618,0.275862069,0.274502841,0.0078125,0.6328125,male
0.175659429,0.125469062,0.40390956,0.134411178,0.132726096,0.016563147,0.228571429,0.2578125,0.0078125,0.6484375,male
0.174825733,0.123529412,0.43670621,0.12,0.124684802,0.016753927,0.25,0.799005682,0.0078125,4.171875,male
0.174064614,0.125137615,0.414838884,0.133211009,0.124533186,0.016343207,0.231884058,0.244944853,0.0078125,0.6328125,male
0.159530491,0.117972028,0.582531022,0.133636364,0.120254421,0.018411968,0.168421053,0.372869318,0.0078125,2.609375,male
0.163180094,0.117209302,0.534101517,0.060096899,0.071791115,0.016376663,0.258064516,0.090460526,0.0703125,0.6953125,male
0.161740724,0.138346799,0.532475667,0.06003729,0.077556611,0.016243655,0.253968254,0.085049716,0.0703125,0.6640625,male
0.160984675,0.125693431,0.554992824,0.059951338,0.07147436,0.016276704,0.262295082,0.0703125,0.0703125,0.0703125,male
0.169875811,0.144336775,0.481693506,0.060047657,0.06851771,0.016326531,0.228571429,0.0953125,0.0703125,0.75,male
0.171829295,0.140583681,0.528598978,0.060035736,0.089869829,0.015904573,0.275862069,0.078804348,0.0703125,0.25,male
0.168957754,0.114242135,0.623611303,0.050181125,0.108794682,0.034707158,0.19047619,1.107142857,0.078125,5.0703125,male
0.166469398,0.121730205,0.729936599,0.050087977,0.10337593,0.017167382,0.275862069,1.168870192,0.0078125,6.53125,male
0.147872771,0.156755319,0.759154326,0.050079787,0.093395001,0.02,0.25,1.283770161,0.0078125,5.234375,male
0.148742418,0.149237537,0.782449104,0.050087977,0.110761256,0.019851117,0.275862069,1.711516204,0.0078125,5.2421875,male
0.138676549,0.162785924,0.769192714,0.050087977,0.107189384,0.024096386,0.275862069,0.715692935,0.0078125,3.609375,male
0.150704949,0.156415634,0.781729344,0.050181125,0.109991594,0.017259978,0.266666667,1.240953947,0.0078125,5.5625,male
0.154305636,0.137207447,0.762242968,0.050079787,0.107986273,0.017353579,0.271186441,1.761126894,0.0078125,7,male
0.154811854,0.129120235,0.727326799,0.050087977,0.102819841,0.018120045,0.262295082,1.457932692,0.0078125,4.8125,male
